0.04, 0, 0, 0, 0, 0, 0
0.08, 0, 0, 0, 1, 1, 0
0.12, 0, 1, 0, 0, 1, 0
0.16, 0, 1, 0, 0, 1, 0
0.2, -1, 1, 0, -1, 2, 0
0.24, -2, 2, 0, -1, 2, 0
0.28, -2, 3, 0, -2, 2, 0
0.32, -2, 4, 0, -3, 3, 1
0.36, -3, 5, 0, -4, 4, 0
0.4, -4, 6, 1, -4, 5, 0
0.44, -4, 4, 0, -5, 5, 0
0.48, -4, 3, 0, -5, 3, 1
0.52, -4, 2, 1, -4, 3, 1
0.56, -4, 0, 2, -4, 2, 1
0.6, -4, -1, 2, -2, 1, 1
0.64, -3, -1, 3, -2, 0, 2
0.68, -2, -3, 2, 0, -1, 2
0.72, -1, -4, 3, 1, -2, 2
0.76, 1, -5, 2, 2, -3, 2
0.8, 1, -6, 2, 3, -5, 1
0.84, -10, -3, -9, 6, -15, 4
0.88, 0, -8, 1, 0, -1, -2
0.92, 0, -5, 1, 1, -1, -1
0.96, -1, -5, 0, 0, 0, -1
1, -1, -3, 0, -1, 0, -1
1.04, -1, -2, 0, -1, 0, -1
1.08, -1, -1, 0, -2, 0, 0
1.12, -1, -1, -1, -2, 1, -1
1.16, -2, 0, -1, -2, 1, -1
1.2, -1, 1, -1, -2, 2, -1
1.24, -1, 2, 0, -1, 2, 0
1.28, -2, 2, 0, -2, 1, 0
1.32, -1, 2, -1, -2, 2, 0
1.36, -2, 2, 0, -1, 2, -1
1.4, -1, 2, 0, -2, 1, 0
1.44, -2, 2, -1, -1, 2, 0
1.48, -1, 2, 0, -2, 2, -1
1.52, -1, 2, 0, -2, 1, 0
1.56, -2, 2, -1, -1, 2, 0
1.6, -1, 2, 0, -2, 2, -1
1.64, -1, 2, 1, -2, 2, 0
1.68, -1, 1, 1, -1, 1, 0
1.72, 0, 0, 2, 0, 1, 1
1.76, 0, -1, 2, 1, -1, 1
1.8, 2, -3, 1, 1, -3, 2
1.84, 3, -4, 1, 3, -5, 2
1.88, 5, -6, 0, 4, -7, 1
1.92, 15, -5, 7, 8, -1, 3
1.96, 27, -1, 15, 16, 8, 7
