0.5, 0, 0, 0, 0, 0, 0
1, 1, 4, 0, 3, 1, 2
1.5, 1, 12, -3, 13, -2, 9
2, 1, 3, 3, 2, 1, 3
2.5, 1, 4, -1, 5, 1, 3
3, -156, -133, 2.05567e+08, -32643, -3.4015e+07, 283
3.5, 0, 1, 1, 2, 1, 3
4, 2, 4, -3, 6, -1, 3
4.5, 2, 5, 0, 4, 2, 3
5, 1, 2, 2, 1, 0, 2
5.5, -2, 7, -2, 7, -2, 4
6, 2, 1, -2, 2, -2, -1
6.5, -2, 0, -4, -3, -3, -4
7, 2, 3, -1, 3, 1, 1
7.5, -3, 13, -12, 20, -16, 2
8, -12, 13, -20, 10, -17, 5
8.5, 1, 4, -1, 2, 0, 1
9, 2, 1, -1, -1, 0, -1
9.5, 1, 2, -2, 1, -3, -1
10, 0, 3, -2, 1, -2, -2
10.5, -5, 0, -7, 1, -7, -1
11, -9, -7, -10, -2, -8, -6
11.5, -12, -4, -10, -6, -10, -4
12, 15, 12, -20, 4, 10, 19
12.5, -5, 1, -5, 0, -5, 0
13, -7, 1, -8, 2, -9, -1
13.5, -3, -2, -3, 0, -4, 0
14, -6, 1, -10, 2, -8, -1
14.5, -3, 0, -4, 1, -6, 1
15, -2, 0, -1, 1, -3, 2
15.5, -3, -1, 7, -4, -34, -34
16, -60, -177, -76, -144, -98, -147
16.5, -72, -65, -73, -41, -107, -56
17, 1, 3, 4, 4, 8, 8
17.5, -3, -1, -3, 0, -2, 0
18, 0, 0, 1, 0, 0, 0
18.5, 0, 0, 0, 0, 0, -1
19, 0, -1, 0, -1, -2, 0
19.5, -1, 0, -1, 0, 1, 1
20, 0, 0, -1, 1, 0, 0
20.5, -1, 2, -3, 0, 0, 0
21, -4, 6, -9, 4, -10, 2
21.5, -2, 5, -7, 4, -6, 0
22, -3, 7, -8, -1, -12, 1
22.5, -5, 1, -7, 1, -9, -2
23, -7, 3, -12, 3, -12, -2
23.5, -6, 1, -11, 0, -11, -4
24, -7, 1, -12, 0, -12, -3
24.5, -12, 2, -17, 1, -20, -5
